Peak Mass	RT	Intensity	Cluster	Transform	Freq.	Prob.	M
152.035823751	34.4644012451	18697.1171875	212	M+H	500.0	1.0	151.028547299
110.032807255	105.391998291	13512.1289062	213	M+H	500.0	1.0	109.025530803
130.007752074	39.1114006042	30177.4765625	214	M+H	500.0	1.0	129.000475622
158.985837115	108.487998962	1932.40771484	215	M+H	500.0	1.0	157.978560663
171.034128812	90.06300354	16989.3398438	216	M+H	500.0	1.0	170.02685236
171.034139253	22.0235996246	12979.3398438	217	M+H	500.0	1.0	170.026862801
174.987378831	108.487998962	2272.39941406	218	M+H	500.0	1.0	173.980102379
182.956081589	113.161003113	3117.61767578	219	M+H	500.0	1.0	181.948805137
182.969477277	113.161003113	5227.45068359	220	M+H	500.0	1.0	181.962200825
183.012301806	116.29599762	2654.98999023	221	M+H	500.0	1.0	182.005025354
183.015574392	108.487998962	2626.80151367	222	M+H	500.0	1.0	182.00829794
183.025685429	105.391998291	2117.51098633	223	M+H	500.0	1.0	182.018408977
339.344700557	94.6187973022	3786.40234375	263	M+HC13	499	0.998	337.334074105
429.240036396	102.294998169	23906.4960938	225	M+H	500	1.0	428.232759944
110.089677132	117.867996216	2048.64550781	226	M+H	500.0	1.0	109.08240068
110.110892515	117.867996216	1686.78344727	227	M+H	500.0	1.0	109.103616063
182.944598984	111.585998535	1640.11633301	228	M+H	500.0	1.0	181.937322532
182.947954244	110.022003174	1917.36975098	229	M+H	500.0	1.0	181.940677792
188.978153169	114.722999573	5373.62255859	230	M+H	500.0	1.0	187.970876717
441.296966378	96.1536026001	19420.5332031	231	M+H	500.0	1.0	440.289689926
110.061493341	119.439002991	3282.64111328	232	M+H	500.0	1.0	109.054216889
124.543377692	87.0108032227	11451.6757812	233	M+H	500.0	1.0	123.53610124
152.946865282	48.426399231	72721.9921875	234	M+H	500.0	1.0	151.93958883
181.014060298	117.867996216	2926.0300293	235	M+H	500.0	1.0	180.006783846
376.200933175	114.722999573	3106.86547852	236	M+H	500.0	1.0	375.193656723
84.9595179013	29.789100647	68637.8671875	237	M+H	500.0	1.0	83.9522414493
110.526534789	117.867996216	2288.1706543	238	M+H	500.0	1.0	109.519258337
111.01252558	108.487998962	3176.9206543	239	M+H	500	1.0	110.005249128
89.0082233626	9.62465953827	12402.6347656	240	M+H	500.0	1.0	88.0009469106
89.0081937455	113.161003113	13254.6855469	241	M+H	500.0	1.0	88.0009172935
89.0082051781	51.5612983704	5395.79003906	242	M+H	500.0	1.0	88.0009287261
89.0082266273	22.0235996246	10415.4365234	243	M+H	500.0	1.0	88.0009501753
89.0082052521	34.4644012451	6960.89550781	244	M+H	500.0	1.0	88.0009288001
110.006512485	113.161003113	13255.5732422	245	M+H	500.0	1.0	108.999236033
110.115716085	117.867996216	1354.59240723	246	M+H	500.0	1.0	109.108439633
182.979144963	114.722999573	6239.82910156	247	M+H	500	1.0	181.971868511
314.849202189	116.29599762	3625.61230469	248	M+H	500.0	1.0	313.841925737
109.895846173	117.867996216	1690.20422363	249	M+H	500.0	1.0	108.888569721
109.988761908	117.867996216	22519.6308594	250	M+H	500.0	1.0	108.981485456
109.998049945	119.439002991	8089.86669922	251	M+H	500.0	1.0	108.990773493
109.999393126	116.29599762	15657.1796875	252	M+H	500.0	1.0	108.992116674
110.039793231	114.722999573	11699.1152344	253	M+H	500.0	1.0	109.032516779
110.041016952	116.29599762	16217.0136719	254	M+H	500.0	1.0	109.0337405
110.050969057	114.722999573	20775.3613281	255	M+H	500.0	1.0	109.043692605
110.069974352	110.022003174	3086.54223633	256	M+H	500.0	1.0	109.0626979
110.078189006	124.143997192	2740.18164062	257	M+H	500.0	1.0	109.070912554
182.977812818	113.161003113	6530.91503906	258	M+H	500.0	1.0	181.970536366
183.020727152	113.161003113	1916.68579102	235	M+H2C13	416	0.832	180.0067507
183.027487628	119.439002991	1904.14379883	260	M+H	500.0	1.0	182.020211176
183.051220591	121.010002136	3664.54077148	261	M+H	500.0	1.0	182.043944139
183.053220611	121.010002136	2465.27294922	262	M+H	500.0	1.0	182.045944159
338.341297859	96.1536026001	13148.0185547	263	M+H	500.0	1.0	337.334021407
357.876287097	119.439002991	3290.58398438	264	M+H	500.0	1.0	356.869010645
110.012716793	113.161003113	25327.3613281	265	M+H	500.0	1.0	109.005440341
110.063874247	117.867996216	3256.99951172	266	M+H	500.0	1.0	109.056597795
110.068430964	121.010002136	2785.02612305	267	M+H	500.0	1.0	109.061154512
110.083190819	119.439002991	2182.7902832	268	M+H	500.0	1.0	109.075914367
110.093302521	127.31300354	1834.11132812	269	M+H	500.0	1.0	109.086026069
161.494082444	117.867996216	7313.80566406	270	M+H	500.0	1.0	160.486805992
182.954527563	119.439002991	3218.0065918	271	M+H	500.0	1.0	181.947251111
182.971129234	103.832000732	5281.09375	272	M+H	500.0	1.0	181.963852782
327.917825227	119.439002991	3002.86743164	273	M+H	500.0	1.0	326.910548775
368.88409109	119.439002991	3057.94677734	274	M+H	500.0	1.0	367.876814638
110.023530066	114.722999573	35330.8554688	275	M+H	500.0	1.0	109.016253614
110.029746912	117.867996216	17617.1015625	276	M+H	500	1.0	109.02247046
110.075475983	117.867996216	2701.75610352	277	M+H	500.0	1.0	109.068199531
143.039337886	82.4568023682	44745.9921875	278	M+H	500.0	1.0	142.032061434
143.03934798	1.85838997364	35642.0117188	279	M+H	500.0	1.0	142.032071528
143.039353434	39.1114006042	36047.5507812	280	M+H	500.0	1.0	142.032076982
143.039359177	74.7816009521	38317.21875	281	M+H	500	1.0	142.032082725
182.976239223	114.722999573	6757.12695312	282	M+H	500.0	1.0	181.968962771
191.163763288	91.5821990967	23324.8769531	283	M+H	500.0	1.0	190.156486836
285.892945254	119.439002991	4250.95556641	284	M+H	500.0	1.0	284.885668802
179.506218876	113.161003113	5321.90527344	285	M+H	500.0	1.0	178.498942424
207.984871929	76.3175964355	29397.4199219	286	M+H	500.0	1.0	206.977595477
207.98490286	1.85838997364	25702.6894531	287	M+H	500.0	1.0	206.977626408
113.517145158	125.716003418	3127.94189453	288	M+H	500.0	1.0	112.509868706
126.971673166	114.722999573	3635.17626953	289	M+H	500.0	1.0	125.964396714
327.229389628	121.010002136	2038.55212402	290	M+H	500.0	1.0	326.222113176
441.297436871	117.867996216	5045.52001953	291	M+H	500.0	1.0	440.290160419
110.043734225	117.867996216	6404.90625	292	M+H	500.0	1.0	109.036457773
110.514819433	117.867996216	3184.04296875	293	M+H	500.0	1.0	109.507542981
111.025908625	121.010002136	2770.52124023	294	M+H	500.0	1.0	110.018632173
